symbol,name2,sector
o2c,petro welt technologie.ag,industrial services
m0yn,mynaric ag na o.n.,electronic technology
pwo,progress-werk oberk. o.n.,producer manufacturing
lus1,lang + schwarz ag na o.n.,finance
z29,029 group se inh o.n.,technology services
b8f,biofrontera ag na o.n.,health technology
nf4,netfonds ag vna o.n.,finance
lik,limes schlossklinik. o.n.,health services
mzx,masterflex o.n.,producer manufacturing
3it,audius se inh o.n.,technology services
fev,fortec elektro. o.n.,distribution services
pzs,scherzer u. co. ag o.n.,finance
n4g,the naga group ag na o.n.,commercial services
sgf,sgt grm.pe kgaa na o.n.,finance
a4y,accentro r.est.ag o.n.,finance
hgea,hgears ag inh o.n.,consumer durables
exl,exasol ag na o.n.,technology services
9ts,tubesolar ag inh o.n.,electronic technology
cy1k,sbf ag,producer manufacturing
apph,apontis pharm. ag inh on,health technology
h5e,helma eigenheimbau ag,finance
syz,syzygy ag o.n.,commercial services
aj91,doccheck ag na o.n.,distribution services
s4aa,smt scharf ag na o.n.,producer manufacturing
a7a,finlab ag na o.n.,finance
wah,wolftank-adisa hldg o.n.,industrial services
93m1,mph health care inh o.n,finance
sjj,serviceware se inh o.n.,technology services
m3v,mevis medical sol.na o.n.,technology services
bst,bastei luebbe ag o.n.,consumer services
fph,francotyp-postalia hldg,producer manufacturing
hpbk,heliad eq.partn. na o.n.,finance
bez,berentzen-grp.ag,consumer non-durables
nuva,noratis ag inh. o.n.,finance
ete,ekotechnika ag a o.n.,producer manufacturing
mwb,mwb fairtrade wphdlsbk ag,finance
mdg1,medigene ag na o.n.,health technology
4ds,daldrup+soehne ag,industrial services
acx,bet-at-home.com ag o.n.,consumer services
cpx,capsensixx ag inh o.n.,finance
cdz0,mhp hotel ag inh o.n.,consumer services
lmia,"lion e-mobility ag sf-,13",producer manufacturing
m4n,muehlhan o.n.,producer manufacturing
mbq,mobotix ag o.n.,electronic technology
emh,pferdewetten.de ag na on,consumer services
sbx,synbiotic se na o.n.,commercial services
tto,ttl bet.grdbes.ag inh on,finance
msag,ms industrie ag,electronic technology
dar,datron ag inh.o.n.,producer manufacturing
alg,albis leasing ag o.n.,finance
h9y,hanseyachts o.n.,consumer durables
apm,"ad pepper media eo 0,05",commercial services
pa8,paion o.n,health technology
isha,intershop comm. inh o.n.,technology services
sd1,clean logistics se na on,technology services
a62,igp advantag ag eo 1,finance
m3bk,pyramid ag,finance
fsnt,fashionette ag o.n.,retail trade
rtv,your family enter.ag na,consumer services
erwe,erwe immob. ag inh o.n.,finance
dex,delticom ag na o.n.,retail trade
art,artnet ag na o.n.,technology services
v3s,vectron systems o.n.,electronic technology
ggs,gigaset ag o.n.,electronic technology
dgr,dt.grundst.aukt.ag,commercial services
gme,geratherm o.n.,health technology
nn6,nanorepro ag,health services
lsx,ls telcom ag,technology services
cyr,cyan ag inh o.n.,electronic technology
tgt,11 88 0 solutions ag,commercial services
ipok,heidel.beteil.hldg o.n.,finance
dftk,df dt.forfait ag na o.n.,commercial services
acwn,a.s.creation tapeten na,process industries
wig1,sporttotal ag inh. o.n.,commercial services
tlik,teles ag on,technology services
ami,medondo hldg ag inh o.n.,technology services
rcmn,rcm beteiligungs na. o.n.,finance
ldf,linus digital finance ag,technology services
ka8,klassik radio ag na o.n.,consumer services
ecf,mountain alliance na o.n.,commercial services
pgn,paragon kgaa inh o.n.,producer manufacturing
udc,unidevice ag inh o.n.,distribution services
s6p,spielvgg unterhach. na on,consumer services
ccap,"corestate capital eo-,075",finance
ror,sunmirror ag sf 1,finance
sng,singulus technol. eo 1,electronic technology
eff,dt.eff.u.wech.-bet.g.o.n.,finance
tr9,otrs ag ia o.n.,technology services
vez,veganz group ag inh. o.n.,distribution services
123f,123fahrschule se inh o.n.,consumer services
jz6,dt.eigenheim union inh on,consumer durables
c0m,compleo charging solutions ag,industrial services
nc5a,norcom inf.techn. inh on,technology services
abx,adv.blockchain ag inh on,technology services
dtd2,b+s banksysteme ag o.n.,technology services
sc8,secanda ag inh o.n.,finance
slsa,solutiance ag na o.n.,technology services
ry8,roy asset hldg inh o.n.,producer manufacturing
ma10,binect ag inh o.n.,technology services
gwi2,gerry weber intl inh o.n.,consumer non-durables
vrl,net digital ag inh o.n.,commercial services
