symbol,name2,sector
mrpl,mangalore refinery & petrochem,energy minerals
raymond,raymond ltd.,process industries
hudco,housing &urban development cor,finance
godfryphlp,godfrey phillips india ltd.,consumer non-durables
rblbank,rbl bank limited,finance
eurekaforbe,eureka forbes limited,consumer durables
iti,iti ltd,communications
sunclayltd,sundaram-clayton ltd.,producer manufacturing
utiamc,uti asset mngmt co ltd,finance
cesc,cesc,utilities
vipind,vip industries,consumer durables
hfcl,hfcl ltd,electronic technology
indigrid,india grid trust,finance
natcopharm,natco pharma ltd,health technology
amarajabat,amara raja batteries ltd.,producer manufacturing
eidparry,e.i.d.-parry(india,process industries
cyient,cyient limited,commercial services
manappuram,manappuram finance ltd,finance
tanla,tanla platforms l,technology services
easemytrip,easy trip planners limited,consumer services
krbl,krbl ltd.,process industries
swanenergy,swan energy ltd.,utilities
zyduswell,zydus wellness ltd.,consumer non-durables
geship,great eastern shi,transportation
pnbhousing,pnb housing finance limited,finance
triturbine,triveni turbine ltd.,producer manufacturing
vtl,vardhman textiles,process industries
eris,eris lifesciences limited,health technology
godrejagro,godrej agrovet limited,process industries
gnfc,gujarat narmada valley fertili,process industries
deepakfert,deepak fertilisers,process industries
fincables,finolex cables ltd.,producer manufacturing
jklakshmi,jk lakshmi cement ltd.,non-energy minerals
astrazen,astrazeneca pharma india ltd.,health technology
karurvysya,karur vysya bank,finance
mgl,mahanagar gas ltd,utilities
tejasnet,tejas networks ltd,electronic technology
galaxysurf,galaxy surfactants limited,consumer non-durables
pncinfra,pnc infratech ltd,industrial services
polymed,poly medicure ltd,health technology
sapphire,sapphire foods india ltd,consumer services
rites,rites limited,commercial services
sonatsoftw,sonata software ltd.,technology services
mcx,multi commodity ex,finance
jindworld,jindal worldwide ltd.,process industries
bsoft,birlasoft limited,technology services
kamahold,kama holdings limited,process industries
balramchin,balrampur chini mi,process industries
shyammetl,shyam metalics and engy l,producer manufacturing
kalpatpowr,kalpataru power tr,industrial services
balamines,balaji amines ltd.,process industries
jublingrea,jubilant ingrevia ltd,process industries
centurytex,century text & ind,process industries
tmb,tamilnad mercantile bank limit,finance
granules,granules india ltd.,health technology
lxchem,laxmi organic industries limit,process industries
bls,bls international services ltd,technology services
birlacorpn,birla corp,non-energy minerals
medplus,medplus health serv ltd,retail trade
jyothylab,jyothy labs ltd,consumer non-durables
latentview,latent view analytics ltd,commercial services
craftsman,craftsman automation limited,producer manufacturing
aci,archean chemical industries li,process industries
rainbow,rainbow children's medicare li,health services
shoperstop,shoppers stop,retail trade
knrcon,knr constructions,industrial services
route,route mobile ltd,communications
stltech,sterlite technologies ltd.,technology services
eclerx,eclerx services ltd.,commercial services
fsl,firstsource solutions ltd.,commercial services
graphite,graphite india,process industries
alokinds,alok industries ltd,process industries
aloktext,alok industries ltd.,process industries
tciexp,tci express ltd,transportation
edelweiss,edelweiss fin serv,finance
canfinhome,canfin homes,finance
equitasbnk,equitas small fin bnk ltd,finance
bse,bse ltd,finance
chemplasts,chemplast sanmar limited,process industries
cera,cera sanitaryware ltd.,consumer durables
anuras,anupam rasayan india limited,health technology
hgs,hinduja global sol,commercial services
jkpaper,jk paper ltd,process industries
metropolis,metropolis healthc,health services
jmfinancil,jm financial ltd.,finance
rcf,rashtriya chemicals & fertiliz,process industries
gmmpfaudlr,gmm pfaudler ltd,producer manufacturing
gmm,gmm pfaudler ltd.,producer manufacturing
ccl,ccl products (india) ltd.,consumer non-durables
nbcc,nbcc (india) ltd,commercial services
chalet,chalet hotels limited,consumer services
triveni,triveni engineerin,process industries
splpetro,supreme petrochem ltd,process industries
pghl,procter & gamble health l,health technology
saregama,saregama india ltd,consumer services
symphony,symphony ltd,producer manufacturing
indiacem,india cements ltd.,non-energy minerals
rtnindia,rattanindia ent ltd,commercial services
sci,shipping cp india,transportation
jbma,jbm auto ltd.,producer manufacturing
welspunind,welspun india ltd.,consumer non-durables
cochinship,cochin shipyard limited,producer manufacturing
hndfds,hindustan foods ltd,consumer non-durables
princepipe,prince pipes and fittings limi,producer manufacturing
network18,network 18 media,consumer services
ceatltd,ceat ltd,consumer durables
aparinds,apar industries ltd.,electronic technology
datapattns,data patterns india ltd,electronic technology
ibulhsgfin,indiabulls housing,finance
ingerrand,ingersoll rand,producer manufacturing
homefirst,home first finance company ind,finance
bororenew,borosil renewables ltd,process industries
bbtc,bombay burmah trading corp.ltd,consumer non-durables
ksb,ksb limited,producer manufacturing
amber,amber enterprises,producer manufacturing
gocolors,go fashion (india) limited,consumer non-durables
beml,beml ltd,producer manufacturing
prajind,praj industries,industrial services
ushamart,usha martin ltd.,producer manufacturing
inoxleisur,inox leisure ltd,consumer services
garfibres,garware technical fibres limit,producer manufacturing
esabindia,esab india,producer manufacturing
tv18brdcst,tv18 broadcast ltd.,consumer services
infratrust,india infrastructure trust,miscellaneous
rain,rain industries limited,process industries
indigopnts,indigo paints limited,process industries
lemontree,lemon tree hotels limited,consumer services
welcorp,welspun corp ltd,producer manufacturing
ncc,ncc ltd,consumer durables
mapmyindia,c.e. info systems limited,commercial services
ujjivansfb,ujjivan small finance bank lim,finance
gpil,godawari power & ispat ltd.,non-energy minerals
justdial,just dial ltd.,technology services
intellect,intellect design a,technology services
ircon,ircon international ltd,industrial services
vmart,v-mart retail ltd,retail trade
gael,gujarat ambuja exports ltd.,consumer non-durables
rba,restaurant brand asia ltd,consumer services
bcg,brightcom group limited,technology services
mahlife,mahindra lifespace,finance
jublpharma,jubilant pharmova ltd,health technology
orientelec,orient electric ltd,consumer durables
sparc,sun pharma advanced research c,health technology
kfintech,kfin technologies ltd,technology services
quess,quess corp limited,commercial services
sobha,sobha ltd,finance
religare,religare enterprises ltd.,finance
sis,sis ltd,commercial services
mindacorp,minda corporation limited,producer manufacturing
grse,garden reach shipb,producer manufacturing
prsmjohnsn,prism johnson limited.,non-energy minerals
rustomjee,keystone realtors ltd,finance
sunteck,sunteck realty ltd.,finance
j_kbank,jammu & kashmir bank ltd.,finance
cappl,caplin point laboratories ltd.,health technology
caplipoint,caplin point labor,health technology
deltacorp,delta corp ltd,consumer services
gujalkali,gujarat alkalies & chemicals l,process industries
mmtc,mmtc,distribution services
avanti,avanti feeds ltd.,process industries
avantifeed,avanti feeds,process industries
mhril,mahindra holidays & resorts in,consumer services
epl,epl limited,process industries
gsfc,gujarat state fer,process industries
mtartech,mtar technologies ltd,electronic technology
mastek,mastek ltd.,technology services
polyplex,polyplex corp,process industries
mahscooter,maharashtra scooters ltd.,producer manufacturing
zensartech,zensar technologie,technology services
kirlfer,kirloskar ferrous industries l,non-energy minerals
swsolar,sterling and wilson renewable,industrial services
gmdcltd,gujarat mineral development co,distribution services
kennamet,kennametal india l,producer manufacturing
gls,glenmark life science ltd,health technology
rolexrings,rolex rings limited,producer manufacturing
vrllog,vrl logistics limited,transportation
jppower,jaiprakash power,utilities
paradeep,paradeep phosphates limited,process industries
ghcl,ghcl ltd.,process industries
vaibhavgbl,vaibhav global ltd,consumer durables
tci,transport corporation of india,transportation
bengalasm,bengal & assam company ltd.,consumer durables
tatva,tatva chin pharm chem ltd,process industries
vstind,vst industries ltd.,consumer non-durables
hikal,hikal ltd,health technology
cmsinfo,cms info systems ltd,finance
infibeam,infibeam avenues l,commercial services
schneider,schneider electric infrastruct,distribution services
rpower,reliance power ltd.,utilities
mfl,meghmani finechem ltd,process industries
syrma,syrma sgs technology limited,electronic technology
enginersin,engineers india,industrial services
jswhl,jsw holdings limited,finance
ktkbank,karnataka bank ltd.,finance
gppl,gujarat pipavav po,transportation
starcement,star cement limited,producer manufacturing
pcbl,pcbl ltd,process industries
kirloseng,kirloskar oil engines ltd.,producer manufacturing
luxind,lux industries limited,consumer non-durables
suprajit,suprajit engineering ltd.,producer manufacturing
hginfra,h.g. infra engineering limited,industrial services
bshsl,bombay super hybrid seeds,process industries
arvindfasn,arvind fashions ltd,retail trade
jktyre,jk tyre&industries,consumer durables
rkforge,ramkrishna forgings ltd.,producer manufacturing
pdsl,pds ltd,consumer non-durables
masfin,mas financial serv,finance
varroc,varroc engineering,distribution services
csbbank,csb bank ltd,finance
rallis,rallis india ltd.,process industries
fdc,fdc ltd,health technology
safarind,safari industries (india) ltd.,consumer durables
safari,safari ind (india) ltd,consumer durables
icra,icra ltd,commercial services
